Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
15-Apr-15,8844.75,8844.8,8722.4,8750.2,170458015,8908.26
16-Apr-15,8757.05,8760,8645.65,8706.7,149337173,8268.33
17-Apr-15,8698.05,8699.85,8596.7,8606,155474164,9134.37
20-Apr-15,8618.8,8619.95,8422.75,8448.1,154492312,8930.38
21-Apr-15,8416.1,8469.35,8352.7,8377.75,418959074,32873.45
22-Apr-15,8400.4,8449.95,8284.7,8429.7,176926942,10002.48
23-Apr-15,8478.2,8504.95,8361.85,8398.3,169840748,9801.34
24-Apr-15,8405.7,8413.3,8273.35,8305.25,177843969,10984.24
27-Apr-15,8330.55,8334.45,8202.35,8213.8,174706337,10143.36
28-Apr-15,8215.55,8308,8185.15,8285.6,183754628,9560.13
29-Apr-15,8274.8,8308.2,8219.2,8239.75,174958511,8571.95
30-Apr-15,8224.5,8229.4,8144.75,8181.5,281696257,14755.35
4-May-15,8230.05,8346,8220.45,8331.95,136913823,7856.18
5-May-15,8338.4,8355.65,8280.6,8324.8,156019941,8138.54
6-May-15,8316.6,8331.95,8083,8097,212509839,10894.12
7-May-15,8077,8122.6,7997.15,8057.3,166563657,8443.96
8-May-15,8131.5,8224.95,8123.45,8191.5,188776090,8961.33
11-May-15,8243.2,8332.75,8224.65,8325.25,197882948,8396.12
12-May-15,8326.15,8326.65,8115.3,8126.95,178753978,8779.53
13-May-15,8181.55,8254.95,8089.8,8235.45,175015183,8391.93
14-May-15,8232.45,8236.25,8137.3,8224.2,138964395,6763.72
15-May-15,8240.3,8279.2,8212.2,8262.35,133838055,6463.64
18-May-15,8284.95,8384.6,8271.95,8373.65,153340463,7459.18
19-May-15,8356.2,8427.8,8335,8365.65,144642344,7266.52
20-May-15,8392.65,8440.35,8391.45,8423.25,127388797,6151.44
21-May-15,8434.5,8446.35,8382.5,8421,148189485,7641.6
22-May-15,8432.5,8489.55,8420.6,8458.95,193080657,8261.69
25-May-15,8438.15,8441.95,8364.15,8370.25,125051166,5555.29
26-May-15,8377.1,8378.9,8320.05,8339.35,120428892,5908.3
27-May-15,8302.75,8342.85,8277.95,8334.6,170583401,8131.59
28-May-15,8345.7,8364.5,8270.15,8319,239549060,11449.91
29-May-15,8327.1,8443.9,8305.7,8433.65,375232198,20736.2
1-Jun-15,8417.25,8467.15,8405.4,8433.4,125990614,7254.01
2-Jun-15,8442.8,8445.35,8226.05,8236.45,151337661,8083.17
3-Jun-15,8232.45,8236.7,8094.15,8135.1,176661646,7920.26
4-Jun-15,8155.15,8160.05,8056.75,8130.65,159470840,7560.49
5-Jun-15,8119.15,8191,8100.15,8114.7,167055308,7588.4
8-Jun-15,8124.35,8131,8030.55,8044.15,140075743,6230.61
9-Jun-15,8026.5,8057.15,8005.15,8022.4,140217686,6442.05
10-Jun-15,8024.15,8152.25,8023.8,8124.45,141030200,6790.27
11-Jun-15,8157.3,8163.05,7958.25,7965.35,171348959,7868.44
12-Jun-15,7959.85,7995.6,7940.3,7982.9,140839875,6737.25
15-Jun-15,7986.6,8057.7,7944.85,8013.9,137116389,6129.12
16-Jun-15,8004.2,8061.85,7952.35,8047.3,127809460,5923.8
17-Jun-15,8084.2,8136.85,8048.95,8091.55,157205716,7878.66
18-Jun-15,8113.7,8186.9,8101.8,8174.6,149266110,7767.77
19-Jun-15,8201.15,8250.8,8195.65,8224.95,151575997,7722.05
22-Jun-15,8259.3,8369.45,8257.4,8353.1,126542473,6163.02
23-Jun-15,8377.45,8398.45,8334.95,8381.55,135844708,6437.33
24-Jun-15,8399.4,8421.35,8338.9,8360.85,134062733,7175.22
25-Jun-15,8336.25,8423.15,8329.5,8398,207421340,9911.16
26-Jun-15,8393.95,8408.55,8339.7,8381.1,113959476,5848.78
29-Jun-15,8247.05,8329.45,8195.65,8318.4,136106699,6604.12
30-Jun-15,8316.35,8378,8298.95,8368.5,163366250,8425.52
1-Jul-15,8376.25,8481.6,8370.15,8453.05,135887471,6938.05
2-Jul-15,8471.95,8479.25,8433.2,8444.9,115472141,6065.26
3-Jul-15,8440.1,8497.75,8424.15,8484.9,91142979,4983.21
6-Jul-15,8386.15,8533.15,8386.15,8522.15,104578132,5517.86
7-Jul-15,8525.5,8561.35,8483.85,8510.8,126038231,6054.41
8-Jul-15,8439.2,8457.5,8341.4,8363.05,193886999,8876.81
9-Jul-15,8364.85,8400.3,8323,8328.55,135358659,6610.4
10-Jul-15,8365.7,8377.1,8315.4,8360.55,158883926,8128.47
13-Jul-15,8397.25,8471.65,8355.4,8459.65,121380175,6506.28
14-Jul-15,8470.6,8480.25,8424.1,8454.1,104893796,5454.41
15-Jul-15,8463.4,8531.4,8462.95,8523.8,108835522,5805.53
16-Jul-15,8546.15,8616.1,8542.9,8608.05,119637042,6544.15
17-Jul-15,8623.65,8642.95,8593.15,8609.85,108190401,5713.13
20-Jul-15,8623.9,8624.1,8559,8603.45,93439295,5107.62
21-Jul-15,8601.5,8646.75,8517.9,8529.45,169151098,10699.52
22-Jul-15,8512.25,8643.9,8498.65,8633.5,141018383,7427.34
23-Jul-15,8643.95,8654.75,8573.8,8589.8,136962516,7747.81
24-Jul-15,8588.15,8589.15,8513.5,8521.55,131344832,6942.22
27-Jul-15,8492.1,8492.2,8351.55,8361,140828066,7353.09
28-Jul-15,8371.1,8397.4,8321.75,8337,179983810,8403.15
29-Jul-15,8365.6,8381.5,8338.45,8375.05,145399010,7232.34
30-Jul-15,8417,8458.9,8408.3,8421.8,221939186,10007.3
31-Jul-15,8456.1,8548.95,8448,8532.85,209629301,9522.19
3-Aug-15,8510.65,8563.95,8508.1,8543.05,161485758,7738.1
4-Aug-15,8564.1,8565.15,8448.25,8516.9,193226091,9003.82
5-Aug-15,8547.45,8591.85,8545.85,8567.95,136948290,6434.82
6-Aug-15,8585.8,8606.3,8551.5,8588.65,139116393,6595.25
7-Aug-15,8580.8,8595.95,8552.7,8564.6,148073594,6528.28
10-Aug-15,8577,8621.55,8497.8,8525.6,127194886,5780.49
11-Aug-15,8548.45,8556.25,8441.3,8462.35,159192694,7049.29
12-Aug-15,8445.7,8446.95,8337.95,8349.45,195904304,8630.35
13-Aug-15,8384.45,8429.5,8339.75,8355.85,195079107,7840.58
14-Aug-15,8402.35,8530.1,8381.2,8518.55,160680260,7090.58
17-Aug-15,8530.5,8530.6,8428.05,8477.3,180083830,6543.01
18-Aug-15,8505.85,8525.75,8433.6,8466.55,157991554,6501.24
19-Aug-15,8468.05,8520.45,8425.95,8495.15,134512114,6338.67
20-Aug-15,8471.05,8501.35,8359.75,8372.75,189841783,9193.19
21-Aug-15,8305.4,8322.2,8225.05,8299.95,207542070,9606.33
24-Aug-15,8055.95,8060.05,7769.4,7809,322096413,13856.66
25-Aug-15,7895.4,7925.4,7667.25,7880.7,308255265,13420.76
26-Aug-15,7865.25,7930.05,7777.1,7791.85,223261362,10207.56
27-Aug-15,7921.6,7963.6,7862.3,7948.95,314422773,14282.73
28-Aug-15,8053.7,8091.8,7961.65,8001.95,201572450,8641.87
31-Aug-15,8009.25,8043.6,7947.95,7971.3,204254629,9547.7
1-Sep-15,7907.95,7929.1,7746.5,7785.85,190581167,8633.26
2-Sep-15,7856.65,7862.55,7699.25,7717,222003483,9794.29
3-Sep-15,7774.45,7845.6,7754.05,7823,160609681,7060.37
4-Sep-15,7803.4,7804.9,7626.85,7655.05,199569987,8200.69
7-Sep-15,7685.85,7705.05,7545.9,7558.8,145763902,5768.15
8-Sep-15,7587.7,7720.9,7539.5,7688.25,177514609,7380.17
9-Sep-15,7805.85,7846.05,7764.55,7818.6,214842731,8550.1
10-Sep-15,7729.05,7819.85,7678.5,7788.1,165313439,6992.42
11-Sep-15,7833.8,7864.85,7759.9,7789.3,140576943,6014.16
14-Sep-15,7811.1,7879.95,7761.85,7872.25,126630775,5277.75
15-Sep-15,7867.35,7880,7799.75,7829.1,140722007,6252.35
16-Sep-15,7886.85,7913.9,7853.3,7899.15,144331414,6650.61
18-Sep-15,7967.45,8055,7955.85,7981.9,249313429,11328.64
21-Sep-15,7911.5,7987.9,7908.35,7977.1,125628591,5482.45
22-Sep-15,8014.8,8021.6,7787.75,7812,173569429,7887.06
23-Sep-15,7737.35,7882.9,7723.25,7845.95,151196367,6869.26
24-Sep-15,7838.4,7894.5,7804.1,7868.5,208766516,9732.18
28-Sep-15,7892.8,7893.95,7787.95,7795.7,140480206,7120.05
29-Sep-15,7725.7,7926.55,7691.2,7843.3,248106979,11184.67
30-Sep-15,7924.25,7957.7,7874.5,7948.9,217187896,9981.56
1-Oct-15,7992.05,8008.25,7930.65,7950.9,161809883,8896.78
5-Oct-15,8005.1,8128.9,8005.1,8119.3,188830270,9589.63
6-Oct-15,8180.45,8180.95,8096.5,8152.9,184037905,8461.64
7-Oct-15,8146.2,8188.9,8132.9,8177.4,199911165,7894.19
8-Oct-15,8196.75,8196.75,8105.85,8129.35,177030502,7837.16
9-Oct-15,8186.35,8232.2,8139.65,8189.7,205859184,7960.62
12-Oct-15,8231.5,8244.5,8128.2,8143.6,205255913,7604.3
13-Oct-15,8121.95,8150.25,8088.6,8131.7,150431773,6877.36
14-Oct-15,8102.4,8139.3,8096.35,8107.9,143158108,6607.21
15-Oct-15,8134.35,8190.55,8129.8,8179.5,172429864,7625.17
16-Oct-15,8193.65,8246.4,8147.65,8238.15,161153559,6956.78
19-Oct-15,8262.55,8283.05,8239.2,8275.05,128300205,6880.43
20-Oct-15,8280.3,8294.05,8229.2,8261.65,159947752,7661.53
21-Oct-15,8258.35,8294.4,8217.15,8251.7,149270047,6689.35
23-Oct-15,8308.25,8328.1,8280.75,8295.45,156664310,7466.28
26-Oct-15,8333.65,8336.3,8252.05,8260.55,138006303,6799.49
27-Oct-15,8230.35,8241.95,8217.05,8232.9,161493491,8271.49
28-Oct-15,8188.9,8209.1,8131.8,8171.2,194708669,9131.44
29-Oct-15,8175.45,8179.6,8098,8111.75,224234135,10569.95
30-Oct-15,8123.55,8146.1,8044.4,8065.8,205663493,9218.39
2-Nov-15,8054.55,8060.7,7995.6,8050.8,140323983,6552.67
3-Nov-15,8086.35,8100.35,8031.75,8060.7,136625382,5955.64
4-Nov-15,8104.9,8116.1,8027.3,8040.2,125935846,5696.01
5-Nov-15,8030.35,8031.2,7944.1,7955.45,136223827,6001.38
6-Nov-15,7956.55,8002.65,7926.15,7954.3,226329409,8771.77
9-Nov-15,7788.25,7937.75,7771.7,7915.2,218422388,9376.17
10-Nov-15,7877.6,7885.1,7772.85,7783.35,170267413,7153.47
11-Nov-15,7838.8,7847.95,7819.1,7825,22380435,1123.44
13-Nov-15,7762.45,7775.1,7730.9,7762.25,165876819,7731.55
16-Nov-15,7732.95,7838.85,7714.15,7806.6,154134885,6871.15
17-Nov-15,7848.75,7860.45,7793,7837.55,149451211,6367.14
18-Nov-15,7823.15,7843.4,7725.05,7731.8,148037721,6112.32
19-Nov-15,7788.5,7854.9,7765.45,7842.75,136702518,7410.15
20-Nov-15,7841.9,7906.95,7817.8,7856.55,156610433,7298.01
23-Nov-15,7869.5,7877.5,7825.2,7849.25,130871603,6099.09
24-Nov-15,7837,7870.35,7812.65,7831.6,134562905,6686.27
26-Nov-15,7837.15,7897.1,7832,7883.8,226632193,11054.04
27-Nov-15,7910.6,7959.3,7879.45,7942.7,154863047,7068.72
30-Nov-15,7936.25,7966,7922.8,7935.25,223041699,15368.67
1-Dec-15,7958.15,7972.15,7934.15,7954.9,142945421,6796.67
2-Dec-15,7976.7,7979.3,7910.8,7931.35,130207404,6242.53
3-Dec-15,7902.3,7912.3,7853.3,7864.15,129628400,5636.41
4-Dec-15,7817.6,7821.4,7775.7,7781.9,157231681,7758.36
7-Dec-15,7816.55,7825.4,7746.05,7765.4,141893279,6403.97
8-Dec-15,7738.5,7771.25,7685.45,7701.7,139318392,5986.06
9-Dec-15,7695.5,7702.85,7606.9,7612.5,144315690,6599.6
10-Dec-15,7643.3,7691.95,7610,7683.3,145249292,6492.02
11-Dec-15,7699.6,7703.05,7575.3,7610.45,172996480,6894.44
14-Dec-15,7558.2,7663.95,7551.05,7650.05,153492615,6290.42
15-Dec-15,7659.15,7705,7625.1,7700.9,138479057,6152.14
16-Dec-15,7725.25,7776.6,7715.75,7750.9,159149338,6703.76
17-Dec-15,7783.05,7852.9,7737.55,7844.35,181256780,7367.15
18-Dec-15,7828.9,7836.15,7753.35,7761.95,197319843,8074.5
21-Dec-15,7745.65,7840.75,7733.45,7834.45,130174102,5558.38
22-Dec-15,7829.4,7846.3,7776.85,7786.1,129633328,5028.11
23-Dec-15,7830.45,7871.45,7826.1,7865.95,121480721,4663.45
24-Dec-15,7888.75,7888.75,7835.5,7861.05,96374245,3383.99
28-Dec-15,7863.2,7937.2,7863,7925.15,126737811,5755.48
29-Dec-15,7929.2,7942.15,7902.75,7928.95,116535971,4950.36
30-Dec-15,7938.6,7944.75,7889.85,7896.25,110145855,4392.87
31-Dec-15,7897.8,7955.55,7891.15,7946.35,155645098,6780.85
1-Jan-16,7938.45,7972.55,7909.8,7963.2,64843836,2613.91
4-Jan-16,7924.55,7937.55,7781.1,7791.3,138864905,5897.08
5-Jan-16,7828.4,7831.2,7763.25,7784.65,149672973,5948.51
6-Jan-16,7788.05,7800.95,7721.2,7741,151715828,6722.17
7-Jan-16,7673.35,7674.95,7556.6,7568.3,194732861,7803.21
8-Jan-16,7611.65,7634.1,7581.05,7601.35,162348690,6753.57
11-Jan-16,7527.45,7605.1,7494.35,7563.85,194836791,7327.15
12-Jan-16,7587.2,7588.3,7487.8,7510.3,168975973,7071.48
13-Jan-16,7557.9,7590.95,7425.8,7562.4,221908258,9585.17
14-Jan-16,7467.4,7604.8,7443.8,7536.8,206988549,9246.75
15-Jan-16,7561.65,7566.5,7427.3,7437.8,203643071,8279.07
18-Jan-16,7420.35,7463.65,7336.4,7351,240798183,8431.56
19-Jan-16,7381.8,7462.75,7364.15,7435.1,194068339,7038.84
20-Jan-16,7357,7470.9,7241.5,7309.3,232614141,8794.16
21-Jan-16,7376.65,7398.7,7250,7276.8,248113284,9401.16
22-Jan-16,7355.7,7433.4,7327.6,7422.45,236282061,7666.39
25-Jan-16,7468.75,7487.15,7421.2,7436.15,168202502,5910.99
27-Jan-16,7469.6,7477.9,7419.7,7437.75,193389891,6834.77
28-Jan-16,7426.5,7468.85,7409.6,7424.65,283036298,10049.88
29-Jan-16,7413.35,7575.65,7402.8,7563.55,307934042,11277.33
1-Feb-16,7589.5,7600.45,7541.25,7555.95,206645021,8209.5
2-Feb-16,7566.65,7576.3,7428.05,7455.55,237338907,8030.99
3-Feb-16,7392.45,7419.4,7350.3,7361.8,197863301,6748.17
4-Feb-16,7411.45,7457.05,7365.95,7404,229563364,7465.35
5-Feb-16,7418.25,7503.15,7406.65,7489.1,257518899,8628.24
8-Feb-16,7489.7,7512.55,7363.2,7387.25,176758985,5746.45
9-Feb-16,7303.95,7323.45,7275.15,7298.2,218730280,7415.13
10-Feb-16,7264.3,7271.85,7177.75,7215.7,254481339,8129.65
11-Feb-16,7203.6,7208.65,6959.95,6976.35,301302956,9250.27
12-Feb-16,7023.65,7034.8,6869,6980.95,344210729,11062.63
15-Feb-16,7057.35,7182.8,7056.8,7162.95,365217073,10204.34
16-Feb-16,7201.25,7204.65,7037.7,7048.25,261607451,7638.39
17-Feb-16,7058.85,7123.7,6960.65,7108.45,268017961,7686.32
18-Feb-16,7177.4,7215.1,7127.85,7191.75,254331498,8051.51
19-Feb-16,7170.55,7226.85,7145.95,7210.75,198206480,6156.58
22-Feb-16,7208.85,7252.4,7200.7,7234.55,159162842,5832.89
23-Feb-16,7240.3,7241.7,7090.7,7109.55,200396978,6433.16
24-Feb-16,7075,7090.8,7009.75,7018.7,205898417,6497.18
25-Feb-16,7029.85,7034.2,6961.4,6970.6,291932544,9090.16
26-Feb-16,7039.3,7052.9,6985.1,7029.75,213142575,6880.96
29-Feb-16,7050.45,7094.6,6825.8,6987.05,487969285,15992.15
1-Mar-16,7038.25,7235.5,7035.1,7222.3,283561570,9896.58
2-Mar-16,7321.7,7380.35,7308.15,7368.85,348965708,10983.06
3-Mar-16,7429.55,7483.95,7406.05,7475.6,287248532,9255.43
4-Mar-16,7505.4,7505.9,7444.1,7485.35,290441230,8135.06
8-Mar-16,7486.4,7527.15,7442.15,7485.3,264945393,8417.86
9-Mar-16,7436.1,7539,7424.3,7531.8,252709391,9036.29
10-Mar-16,7545.35,7547.1,7447.4,7486.15,231584305,8875.92
11-Mar-16,7484.85,7543.95,7460.6,7510.2,204806572,7558.55
14-Mar-16,7542.6,7583.7,7515.05,7538.75,172067214,6330.45
15-Mar-16,7535.85,7545.2,7452.8,7460.6,199653871,7577.78
16-Mar-16,7457.05,7508,7405.15,7498.75,201430035,7102.59
17-Mar-16,7557.4,7585.3,7479.4,7512.55,247043954,9539.89
18-Mar-16,7534.65,7613.6,7517.9,7604.35,244727490,9971.59
21-Mar-16,7619.2,7713.55,7617.7,7704.25,202853386,8381.51
22-Mar-16,7695.55,7728.2,7643.8,7714.9,215355848,8628.05
23-Mar-16,7717.45,7726.85,7670.6,7716.5,205794773,7612.54
28-Mar-16,7741,7749.4,7587.7,7615.1,249905118,10102.36
29-Mar-16,7606.55,7652.9,7582.25,7597,223493457,10474.75
30-Mar-16,7651.1,7741.95,7643.45,7735.2,239843751,9908.6
31-Mar-16,7727.65,7777.6,7702,7738.4,391914059,15918.74
1-Apr-16,7718.05,7740.15,7666.1,7713.05,189571551,8118.47
4-Apr-16,7733.15,7764.45,7704.4,7758.8,160277940,6506.44
5-Apr-16,7736.3,7736.3,7588.65,7603.2,210126897,8412.34
6-Apr-16,7636.05,7638.65,7591.75,7614.35,170653808,6802.69
7-Apr-16,7630.4,7630.75,7535.85,7546.45,241684050,7709.23
8-Apr-16,7542.35,7569.35,7526.7,7555.2,147816460,5981.23
11-Apr-16,7577.8,7678.8,7516.85,7671.4,185353268,7055.61
12-Apr-16,7669.25,7717.4,7663.35,7708.95,168508978,6945.44
13-Apr-16,7777.15,7864.8,7772.2,7850.45,227217288,10071.44
18-Apr-16,7908.15,7920.6,7842.75,7914.7,190258561,10356.03
20-Apr-16,7950.05,7950.4,7877.55,7914.75,211630060,10069.83
21-Apr-16,7953.65,7978.45,7884.1,7912.05,230577117,9613.3
22-Apr-16,7891.8,7923.35,7873.35,7899.3,188988540,7714.04
25-Apr-16,7894.8,7911,7827,7855.05,150776959,7362.13
26-Apr-16,7828.15,7974.5,7822.55,7962.65,208656803,9686.21
27-Apr-16,7942,7991,7940.55,7979.9,213174058,9669.04
28-Apr-16,7967.4,7992,7834.45,7847.25,301485186,14943.3
29-Apr-16,7844.25,7889.05,7788.7,7849.8,251227047,9872.58
2-May-16,7822.7,7829.8,7777.3,7805.9,150818181,6079.16
3-May-16,7824.8,7890.25,7735.15,7747,192271370,8536.83
4-May-16,7724.15,7749,7697.25,7706.55,205939089,7816.27
5-May-16,7731,7777.55,7706.85,7735.5,190792828,8089.45
6-May-16,7717.65,7738.9,7678.35,7733.45,168662226,6296.51
9-May-16,7755.25,7873.65,7753.55,7866.05,165616829,7559.77
10-May-16,7873.55,7896.9,7837.7,7887.8,166957276,7306.72
11-May-16,7804.65,7893.1,7780.9,7848.85,220712496,9394.05
12-May-16,7871.45,7916.05,7849.65,7900.4,157444918,7171.91
13-May-16,7881,7881,7784.2,7814.9,185061782,10152.08
16-May-16,7831.2,7873.9,7772.15,7860.75,211547775,7790.24
17-May-16,7896.85,7940.1,7879.7,7890.75,189140810,8195.95
18-May-16,7846.75,7882.05,7810.75,7870.15,161169418,7333.13
19-May-16,7875.5,7876.2,7766.8,7783.4,175711829,7163.38
20-May-16,7792.2,7812.4,7735.75,7749.7,161889432,6798.89
23-May-16,7813.95,7820.6,7722.2,7731.05,177347948,7141.74
24-May-16,7738.05,7761.55,7715.8,7748.85,151538169,6119.23
25-May-16,7811.8,7941.2,7809.3,7934.9,181636649,8202.39
26-May-16,7974.45,8083,7948.5,8069.65,272456307,12422
27-May-16,8081.95,8164.2,8077.05,8156.65,268963949,10607.22
30-May-16,8166.5,8200,8150.8,8178.5,255086293,9199.38
31-May-16,8209.85,8213.6,8134.3,8160.1,485645737,21491.53
1-Jun-16,8179.2,8215.35,8171.05,8179.95,200371829,8408.53
2-Jun-16,8156.9,8229.5,8154.75,8218.95,187316365,8389.69
3-Jun-16,8246.2,8262,8209.85,8220.8,390652017,10762.52
6-Jun-16,8228.75,8234.7,8186.05,8201.05,176885226,7657.92
7-Jun-16,8235.55,8294.95,8216.4,8266.45,249365706,10462.49
8-Jun-16,8285.5,8288.9,8252.05,8273.05,179710369,7614.02
9-Jun-16,8273.35,8273.35,8184.6,8203.6,180293039,7973.1
10-Jun-16,8180.25,8265.6,8162.85,8170.05,187757375,7853.83
13-Jun-16,8102.25,8125.25,8063.9,8110.6,174916286,7343.99
14-Jun-16,8134.4,8134.95,8069.5,8108.85,150042362,6003.23
15-Jun-16,8139.4,8213.2,8123.15,8206.6,174953935,6945.89
16-Jun-16,8180.65,8180.65,8074.45,8140.75,195028743,7764.57
17-Jun-16,8176.65,8195.25,8135.8,8170.2,171842760,7741.9
20-Jun-16,8115.75,8244.15,8107.35,8238.5,173750792,7392.97
21-Jun-16,8255.4,8257.25,8202.15,8219.9,141161921,5978.26
22-Jun-16,8213.65,8238.35,8153.25,8203.7,140268297,6377.69
23-Jun-16,8201.15,8285.6,8188.3,8270.45,158852677,6805.86
24-Jun-16,8029.1,8100.7,7927.05,8088.6,306803641,13263.08
27-Jun-16,8039.35,8120.65,8039.35,8094.7,167462711,7614.06
28-Jun-16,8096.05,8146.35,8086.85,8127.85,175724276,7777.39
29-Jun-16,8173.1,8212.4,8157.65,8204,151499716,6940.87
30-Jun-16,8260.25,8308.15,8242.1,8287.75,288031935,12346.32
1-Jul-16,8313.05,8356.75,8308.65,8328.35,170581881,7358.38
4-Jul-16,8376.75,8398.45,8364.7,8370.7,158955823,6662.92
5-Jul-16,8379.3,8381.45,8319.95,8335.95,143253937,5976.01
7-Jul-16,8342,8361.95,8317.7,8337.9,160327315,7592.94
8-Jul-16,8350,8353.3,8287.55,8323.2,142159935,6886.33
11-Jul-16,8413.35,8475.25,8407.05,8467.9,154399933,7576.69
12-Jul-16,8502.6,8526.6,8479.2,8521.05,189339750,7873.74
13-Jul-16,8540.45,8550.25,8493.55,8519.5,201492184,8284.38
14-Jul-16,8515.75,8571.4,8500.7,8565,158738499,6890.07
15-Jul-16,8565.45,8594.8,8510.05,8541.4,228598684,12375.84
18-Jul-16,8564.05,8587.1,8494.35,8508.7,169400452,8200.06
19-Jul-16,8514.3,8540.05,8476.7,8528.55,173050805,7928.14
20-Jul-16,8515.45,8569.9,8512.55,8565.85,165349380,7936.36
21-Jul-16,8582.7,8585.25,8503.45,8510.1,154575685,7399.71
22-Jul-16,8519.65,8548.95,8489.8,8541.2,147619642,6504
25-Jul-16,8519.95,8641.15,8517.2,8635.65,154631398,7850.12
26-Jul-16,8633.75,8644.9,8577.15,8590.65,159563469,8765.45
27-Jul-16,8599.4,8665,8572.05,8615.8,189796380,10885.88
28-Jul-16,8636.95,8674.7,8625.25,8666.3,240721865,12998.06
29-Jul-16,8668.3,8670.35,8631.15,8638.5,161935155,8428.8
1-Aug-16,8654.3,8711.3,8590.5,8636.55,194186858,9881.67
2-Aug-16,8647.45,8687.2,8611.4,8622.9,174556789,8652.31
3-Aug-16,8635.2,8635.45,8529.6,8544.85,168033073,8507.82
4-Aug-16,8599.95,8601.4,8518.15,8551.1,169780463,7399.03
5-Aug-16,8600.2,8689.4,8590.15,8683.15,162784913,7635.01
8-Aug-16,8712.85,8723.5,8697.6,8711.35,177877012,7862.15
9-Aug-16,8727.8,8728.35,8638.2,8678.25,206261255,9111.4
10-Aug-16,8686.7,8690.1,8564.6,8575.3,178963496,8206.18
11-Aug-16,8572.8,8601.15,8540.05,8592.15,195114539,8634.8
12-Aug-16,8605.45,8684.3,8604.45,8672.15,272014034,11998.86
16-Aug-16,8670.25,8682.35,8600.45,8642.55,231771409,10937.35
17-Aug-16,8639.8,8667.1,8603.6,8624.05,179540691,8161.38
18-Aug-16,8648.85,8690.7,8645.05,8673.25,169431656,7900.6
19-Aug-16,8694.3,8696.6,8647.1,8666.9,197770568,8354.88
22-Aug-16,8667,8684.85,8614,8629.15,156976546,7394.57
23-Aug-16,8628.35,8642.15,8580,8632.6,193302503,7309.82
24-Aug-16,8648.5,8661.05,8620.9,8650.3,154168043,7199.72
25-Aug-16,8668.85,8683.05,8583.65,8592.2,219736214,10508.32
26-Aug-16,8614.35,8622.95,8547.55,8572.55,152146666,7153.37
29-Aug-16,8583.75,8622,8543.75,8607.45,133723771,6857.99
30-Aug-16,8646.75,8750.6,8642.25,8744.35,154828719,8392.76
31-Aug-16,8754.05,8819.2,8754.05,8786.2,373422334,22534.29
1-Sep-16,8793.6,8813.25,8759.95,8774.65,246336047,9653.93
2-Sep-16,8796.35,8824.1,8768.2,8809.65,197385217,8231.93
6-Sep-16,8852.7,8950.85,8848.45,8943,201617132,9571.31
7-Sep-16,8968.7,8968.7,8913.35,8917.95,299145644,11430.95
8-Sep-16,8915.5,8960.35,8896,8952.5,223937056,10773.98
9-Sep-16,8934.3,8939.15,8858.7,8866.7,181344327,9976.28
12-Sep-16,8732.95,8746.95,8699.4,8715.6,190199613,9248.73
14-Sep-16,8710.65,8739.85,8688.9,8726.6,189984289,9112.57
15-Sep-16,8743.85,8751.95,8704.35,8742.55,149889703,7347.34
16-Sep-16,8780.85,8847.65,8750.5,8779.85,274039556,14430.63
19-Sep-16,8788.45,8824.3,8774.2,8808.4,135814177,7364.64
20-Sep-16,8816.1,8816.45,8759.3,8775.9,140718486,7035.07
21-Sep-16,8790.3,8826.85,8757.3,8777.15,153441330,7572.41
22-Sep-16,8873.35,8893.35,8837.8,8867.45,178136644,9305.56
23-Sep-16,8880.75,8885.2,8820.3,8831.55,191618169,9793.98
26-Sep-16,8807.9,8809.55,8715.1,8723.05,169050086,8518.5
27-Sep-16,8748.9,8768.5,8690.5,8706.4,156100521,7446.12
28-Sep-16,8711.2,8767.05,8703.15,8745.15,170643694,8348.19
29-Sep-16,8792.7,8800.65,8558.25,8591.25,384395249,19467.3
30-Sep-16,8581.5,8637.15,8555.2,8611.15,187333285,8849.27
3-Oct-16,8666.15,8745.2,8635,8738.1,141472076,7173.62
4-Oct-16,8770,8783.65,8736.1,8769.15,189990151,8251.59
5-Oct-16,8806.35,8806.95,8731.4,8743.95,162103951,6866.33
6-Oct-16,8768.7,8781.15,8684.65,8709.55,168713605,8114.93
7-Oct-16,8721.7,8723.7,8663.8,8697.6,155053800,8144.3
10-Oct-16,8735.35,8745.8,8703.95,8708.8,111794053,5159.83
13-Oct-16,8671.5,8681.55,8541.35,8573.35,218861324,10581.55
14-Oct-16,8594,8604.45,8549.8,8583.4,167848947,9613.47
17-Oct-16,8612.95,8615.4,8506.15,8520.4,203516577,8590.35
18-Oct-16,8556.05,8685.1,8555.9,8677.9,216626083,9162.11
19-Oct-16,8697.5,8698.75,8636.7,8659.1,177397872,7790.01
20-Oct-16,8693.35,8727,8678.3,8699.4,165952091,7120.32
21-Oct-16,8708.6,8709.1,8652.05,8693.05,162162047,8022.44
24-Oct-16,8709.85,8736.95,8684.15,8708.95,161966274,6876.28
25-Oct-16,8721.7,8722.65,8663.45,8691.3,195696479,8718.02
26-Oct-16,8657.3,8657.3,8596.6,8615.25,226133074,9696.9
27-Oct-16,8607.1,8624.85,8550.25,8615.25,250336333,12300.53
28-Oct-16,8625,8653.75,8581.75,8638,180906084,8953.72
30-Oct-16,8672.35,8678.25,8616.25,8625.7,16610872,805.89
1-Nov-16,8653.15,8669.6,8614.5,8626.25,170068995,8441.3
